Nome,Categoria,Estrelas,Dia,Endereço,Latitude,Longitude,Notas
Check-in hotel Olbia centro,🎯 Atração,⭐ Se sobrar,Qui 6/Ago,"40.9238, 9.5026",40.9238,9.5026,"Aperitivo (Vermentino + spritz) no Corso Umberto entre 18h-19h · ruas viram pedestres, locais saem em massa"
Passeggiata Corso Umberto · Olbia centro,🎯 Atração,⭐⭐ Vale o desvio,Qui 6/Ago,"40.9238, 9.5026",40.9238,9.5026,"Basilica di San Simplicio · granito puro, austera, evocativa"
"Ristorante By Night (Viale Aldo Moro 201/A, Olbia)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Qui 6/Ago,"Ristorante By Night Viale Aldo Moro 201/A, Olbia, Sardegna, Italia",,,"Aberto em 1985 como spaghetteria, hoje é peixe fresco: paccheri com camarão-vermelho sobre creme de abobrinha, atum em crosta de pão, seadas de sobremesa"
Il Vecchio Porto (centro de Olbia · junto ao porto velho),🍽️ Restaurante,⭐⭐ Vale o desvio,Qui 6/Ago,"Il Vecchio Porto centro de Olbia, Sardegna, Italia",,,"Ristorante-pizzeria de cozinha sarda · a opção mais informal das três, boa pra uma primeira noite sem cerimônia"
"Bistrot Bontade (Via Genova 65, Olbia)",🍽️ Restaurante,⭐⭐ Vale o desvio,Qui 6/Ago,"Bistrot Bontade Via Genova 65, Olbia, Sardegna, Italia",,,"Bistrô moderno no centro · pratos pra dividir, aperitivo bem-feito · fecha às segundas"
Café da manhã + check-out Olbia,☕ Café,⭐ Se sobrar,Sex 7/Ago,"40.9238, 9.5026",40.9238,9.5026,Não esquece de levar passaportes · entrada na França (Córsega)
Encontro com Tobia + família em Bonifacio,🍽️ Restaurante,⭐⭐ Vale o desvio,Sex 7/Ago,"41.3875, 9.1544",41.3875,9.1544,Abraçar a neta · ela vai estar derrubada de excitação
Walking tour Cidadela de Bonifacio · com Tobia,🎯 Atração,⭐⭐⭐ Vale a viagem,Sex 7/Ago,"41.3872, 9.1597",41.3872,9.1597,Vista das falésias da Loggia · postal mais icônico de Bonifacio
Porte de Gênes (entrada principal),🎯 Atração,,Sex 7/Ago,"41.3874, 9.1583",41.3874,9.1583,Parada do walking tour: Cidadela · 🏰 Caminho Histórico
Bastion de l'Etendard (museu + vista),🎯 Atração,,Sex 7/Ago,"41.3876, 9.1589",41.3876,9.1589,Parada do walking tour: Cidadela · 🏰 Caminho Histórico
Église Sainte-Marie-Majeure (cisterna),🎯 Atração,,Sex 7/Ago,"41.38722, 9.15889",41.38722,9.15889,Parada do walking tour: Cidadela · 🏰 Caminho Histórico
Loggia · mirador sul (falésias),🎯 Atração,,Sex 7/Ago,"41.3855, 9.1578",41.3855,9.1578,Parada do walking tour: Cidadela · 🏰 Caminho Histórico
Escalier du Roi d'Aragon (topo),🎯 Atração,,Sex 7/Ago,"41.384, 9.1558",41.384,9.1558,Parada do walking tour: Cidadela · 🏰 Caminho Histórico
Les Quatre Vents (porto),🍽️ Restaurante,⭐⭐ Vale o desvio,Sex 7/Ago,"Les Quatre Vents porto, Sardegna, Italia",,,Classy · frutos do mar · vista marina iluminada · reserva
L'Archivolto (cidadela),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Sex 7/Ago,"L'Archivolto cidadela, Sardegna, Italia",,,"Trattoria acolhedora · pasta com brocciu, cordeiro mel"
Da Passano (porto),🍽️ Restaurante,⭐⭐ Vale o desvio,Sex 7/Ago,"Da Passano porto, Sardegna, Italia",,,Tapas corsas pra partilhar · perfeito com a neta
Check-out + saída cedo,🎯 Atração,⭐ Se sobrar,Sáb 8/Ago,"41.3872, 9.1597",41.3872,9.1597,Café reforçado antes de embarcar · dia é longo
Café do porto de Santa Teresa (junto ao terminal),☕ Café,⭐ Se sobrar,Sáb 8/Ago,"Café do porto de Santa Teresa junto ao terminal, Sardegna, Italia",,,"Panini e café em 30min · o objetivo aqui é não perder tempo, o dia tem 3h30 de estrada pela frente"
"Il Grottino (Via del Mare 14, Santa Teresa di Gallura)",🍽️ Restaurante,⭐⭐ Vale o desvio,Sáb 8/Ago,"Il Grottino Via del Mare 14, Santa Teresa di Gallura, Sardegna, Italia",,,Ristorante-pizzeria a 300m do porto · prato do dia sai rápido
Picnic comprado,🥐 Padaria/Doceria,⭐ Se sobrar,Sáb 8/Ago,"Picnic comprado, Sardegna, Italia",,,Padaria de Santa Teresa · come-se na estrada e economiza uma hora
Chegada Càbras · base 4 noites,🎯 Atração,⭐ Se sobrar,Sáb 8/Ago,"39.93003, 8.53144",39.93003,8.53144,Comprar bottarga da cooperativa local · presente Tobia · ~€60-80 100g
"Il Caminetto (Via Cesare Battisti 8, Càbras)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Sáb 8/Ago,"Il Caminetto Via Cesare Battisti 8, Càbras, Sardegna, Italia",,,"Michelin Guide · spaghetti bottarga, vongole · institução · reservar"
Sa Funta (Via Garibaldi 25),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Sáb 8/Ago,"Sa Funta Via Garibaldi 25, Sardegna, Italia",,,"Cozinha tradicional sarda · enguia defumada, choco em Vernaccia · adventurous"
Trattoria Sa Bell'e Crabasa,🍽️ Restaurante,⭐⭐ Vale o desvio,Sáb 8/Ago,"Trattoria Sa Bell'e Crabasa, Sardegna, Italia",,,Mais simples · peixe fresco · jantar tranquilo com a neta
Spiaggia di Is Arutas · areia de quartzo,🌳 Parque,⭐⭐⭐ Vale a viagem,Dom 9/Ago,"39.9513, 8.3997",39.9513,8.3997,"Pegar um punhado, olhar contra a luz e ver que cada grão é um cristal arredondado — e devolver ao chão antes de sair"
Quiosques de San Giovanni di Sinis (junto à entrada de Tharros),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 9/Ago,"Quiosques de San Giovanni di Sinis junto à entrada de Tharros, Sardegna, Italia",,,"Pé na areia · peixe grelhado e fregola alle vongole · são barracas sazonais, sem nome fixo de um ano pro outro — escolha pela fila"
"Da Cesare · Maluentu (Via Lungomare 36, Putzu Idu)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Dom 9/Ago,"Da Cesare, Sardegna, Italia",,,"Hotel dos anos 1960 de frente pra praia, hoje com a cozinha do chef Leonardo Marongiu · 12km ao norte, ~20min · vale se quiserem trocar o almoço simples por um bom almoço"
Picnic na praia,🥐 Padaria/Doceria,⭐ Se sobrar,Dom 9/Ago,"Picnic na praia, Sardegna, Italia",,,Comprado na padaria de Càbras antes de sair · come-se com o quartzo debaixo dos pés
Tharros · ruínas fenício-romanas no mar,🎯 Atração,⭐⭐⭐ Vale a viagem,Dom 9/Ago,"39.87486, 8.44101",39.87486,8.44101,As colunas romanas com mar atrás · postal único da Sardenha
Spiaggia di Putzu Idu · alternativa calma,🌳 Parque,⭐⭐ Vale o desvio,Dom 9/Ago,"40.0302, 8.4058",40.0302,8.4058,Pôr do sol na água · luz dourada típica do Sinis
Jantar leve em casa,🛒 Mercado,⭐ Se sobrar,Dom 9/Ago,"Jantar leve em casa, Sardegna, Italia",,,Compra no supermercado de Càbras · descanso depois de um dia de sol
Bosa · cidade medieval colorida do rio Temo,🎯 Atração,⭐⭐⭐ Vale a viagem,Seg 10/Ago,"40.29745, 8.50473",40.29745,8.50473,Vista do Castello Malaspina · 360° sobre a vila colorida e o Temo
Lungofiume Temo (promenade ribeirinha),🎯 Atração,,Seg 10/Ago,"40.298, 8.499",40.298,8.499,Parada do walking tour: Bosa · 🏛️ Cidade Medieval Colorida
Sas Conzas (antigas tanarias),🎯 Atração,,Seg 10/Ago,"40.2955, 8.502",40.2955,8.502,Parada do walking tour: Bosa · 🏛️ Cidade Medieval Colorida
Sa Costa (cidade velha colorida),🎯 Atração,,Seg 10/Ago,"40.2995, 8.501",40.2995,8.501,Parada do walking tour: Bosa · 🏛️ Cidade Medieval Colorida
Castello Malaspina (mirador),🎯 Atração,,Seg 10/Ago,"40.29745, 8.50473",40.29745,8.50473,Parada do walking tour: Bosa · 🏛️ Cidade Medieval Colorida
"Locanda di Corte (Via del Pozzo 7, Bosa)",🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Seg 10/Ago,"Locanda di Corte Via del Pozzo 7, Bosa, Sardegna, Italia",,,"No centro histórico, num pátio interno · fregola alle vongole e tagliolini ao nero di seppia · é um dos poucos lugares onde se bebe a rara Malvasia di Bosa DOC"
"Borgo Sant'Ignazio (bairro Sant'Ignazio, Bosa · a caminho do castelo)",🍽️ Restaurante,⭐⭐ Vale o desvio,Seg 10/Ago,"Borgo Sant'Ignazio bairro Sant'Ignazio, Bosa, Sardegna, Italia",,,"Duas casas de pedra unidas contra a encosta, quatro salas e um belvedere na entrada · mar e terra, cozinha tradicional"
Padaria do Lungofiume + picnic à beira do Temo,🥐 Padaria/Doceria,⭐ Se sobrar,Seg 10/Ago,"Padaria do Lungofiume + picnic à beira do Temo, Sardegna, Italia",,,"Se o dia render mais caminhada que fome · come-se na margem, olhando as antigas tanarias"
Bosa Marina · banho de fim de tarde,🌳 Parque,⭐ Se sobrar,Seg 10/Ago,"40.28696, 8.47455",40.28696,8.47455,Torre Genovesa de Bosa Marina · ao fim da praia
Casa,🛒 Mercado,⭐ Se sobrar,Seg 10/Ago,"Casa, Sardegna, Italia",,,"Salada, queijo sardo e um Vermentino · descompressão depois de Bosa"
"Sa Funta (Via Giuseppe Garibaldi 25, Càbras)",🍽️ Restaurante,⭐⭐ Vale o desvio,Seg 10/Ago,"Sa Funta Via Giuseppe Garibaldi 25, Càbras, Sardegna, Italia",,,"Enguia defumada e choco na Vernaccia · cozinha de lagoa, para paladar curioso · as avaliações recentes são fracas, vá pelo que é diferente, não pelo consenso"
Stagno di Càbras · flamingos ao amanhecer,🌳 Parque,⭐⭐ Vale o desvio,Ter 11/Ago,"39.9503, 8.4833",39.9503,8.4833,Pôr ou nascer do sol com bando de flamingos voando · fotos da vida
Café da manhã + recarrega,☕ Café,⭐ Se sobrar,Ter 11/Ago,"39.93003, 8.53144",39.93003,8.53144,—
Museu Civico Cabras · Gigantes de Mont'e Prama,🎯 Atração,⭐⭐⭐ Vale a viagem,Ter 11/Ago,"39.9247, 8.52528",39.9247,8.52528,"Os olhos: dois círculos concêntricos gravados, sem pupila. Não é estilização — é a assinatura do escultor nurágico, repetida em todas as 26 peças"
Sa Funta,🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Ter 11/Ago,"Sa Funta, Sardegna, Italia",,,"Adventurous · enguia, choco · pratos diferentes"
Il Caminetto,🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Ter 11/Ago,"Il Caminetto, Sardegna, Italia",,,Repete bottarga · vale a 2ª vez
Mercado de Càbras + picnic,🛒 Mercado,⭐⭐ Vale o desvio,Ter 11/Ago,"Mercado de Càbras + picnic, Sardegna, Italia",,,"Compra direto do mercado · tomate, bottarga, pão · come perto do mar"
Tarde livre · Putzu Idu ou pré-Maladroxia,🎯 Atração,⭐ Se sobrar,Ter 11/Ago,"39.93003, 8.53144",39.93003,8.53144,Vermentino bem gelado num bar do porto · fim de tarde
Il Caminetto (reserva),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Ter 11/Ago,"Il Caminetto reserva, Sardegna, Italia",,,Última chance · bottarga top + vinho Vernaccia di Oristano · noite especial
Check-out Càbras,🎯 Atração,⭐ Se sobrar,Qua 12/Ago,"39.93003, 8.53144",39.93003,8.53144,Banho rápido na lagoa rasa de Maladroxia ao chegar
