Nome,Categoria,Estrelas,Dia,Endereço,Latitude,Longitude,Notas
"Place des Vosges (Pl. des Vosges, 4e)",🌳 Parque,⭐⭐⭐ Vale a viagem,👶,"48.8556, 2.3654",48.8556,2.3654,"O que observar: dos 36 pavilhões, dois são mais altos — o Pavillon du Roi (ao sul, sobre a entrada da rue de Birague) e o Pavillon de la Reine (ao norte). No meio, a estátua equestre de Luís XIII (o original virou canhão na Revolução)."
"Place des Vosges (jardim central, 4e)",🎯 Atração,,👶,"48.8556, 2.3654",48.8556,2.3654,Parada do walking tour: Parte 1 · 🏛️ Coração do Marais
Maison de Victor Hugo (6 Place des Vosges),🎯 Atração,,👶,"48.8548, 2.3661",48.8548,2.3661,Parada do walking tour: Parte 1 · 🏛️ Coração do Marais
Hôtel de Sully (62 rue Saint-Antoine),🎯 Atração,,👶,"48.8547, 2.3639",48.8547,2.3639,Parada do walking tour: Parte 1 · 🏛️ Coração do Marais
Musée Carnavalet (23 rue de Sévigné),🎯 Atração,,👶,"48.857, 2.3628",48.857,2.3628,Parada do walking tour: Parte 1 · 🏛️ Coração do Marais
Rue des Rosiers · L'As du Fallafel (34 rue des Rosiers),🎯 Atração,,👶,"48.8574, 2.3591",48.8574,2.3591,Parada do walking tour: Parte 1 · 🏛️ Coração do Marais
Fontaine Stravinsky (Place Igor Stravinsky),🎯 Atração,,👶,"48.8595, 2.3515",48.8595,2.3515,Parada do walking tour: Parte 1 · 🏛️ Coração do Marais
L'As du Fallafel (34 rue des Rosiers),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,👶,L'As du Fallafel 34 rue des Rosiers,,,O falafel mais famoso de Paris · pega pra viagem e come na praça (a fila do balcão anda rápido)
Miznon (22 rue des Écouffes),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,👶,Miznon 22 rue des Écouffes,,,"Pitas recheadas do chef Eyal Shani · casual, barulhento, adora criança · a couve-flor inteira assada é o hit"
Chez Marianne (2 rue des Hospitalières-St-Gervais),🍽️ Restaurante,⭐⭐ Vale o desvio,👶,Chez Marianne 2 rue des Hospitalières-St-Gervais,,,"Mezze sentado (homus, falafel, berinjela) · prato de degustação dividido funciona bem em família"
"Marché des Enfants Rouges (39 rue de Bretagne, 3e)",🛒 Mercado,⭐⭐⭐ Vale a viagem,👶,"48.863, 2.3621",48.863,2.3621,Tajine do traiteur marroquino (a fila vale) + as crêpes/galettes pras crianças.
"Musée Picasso (Hôtel Salé, 5 rue de Thorigny)",🎯 Atração,,👶,"48.8598, 2.3626",48.8598,2.3626,Parada do walking tour: Parte 2 · 🍓 Marais Norte: Mercado & Playground
Marché des Enfants Rouges (39 rue de Bretagne),🎯 Atração,,👶,"48.863, 2.3621",48.863,2.3621,Parada do walking tour: Parte 2 · 🍓 Marais Norte: Mercado & Playground
Square du Temple - Elie Wiesel (rue de Bretagne),🎯 Atração,,👶,"48.8637, 2.3606",48.8637,2.3606,Parada do walking tour: Parte 2 · 🍓 Marais Norte: Mercado & Playground
Carreau du Temple (4 rue Eugène Spuller),🎯 Atração,,👶,"48.8646, 2.3623",48.8646,2.3623,Parada do walking tour: Parte 2 · 🍓 Marais Norte: Mercado & Playground
"Square du Temple - Elie Wiesel (rue de Bretagne, 3e)",🌳 Parque,⭐⭐ Vale o desvio,👶,"48.8637, 2.3606",48.8637,2.3606,O playground cercado (dá pra sentar e soltar as crianças com tranquilidade) + a cascata e o laguinho.
"Église Saint-Gervais & Rue des Barres (13 rue des Barres, 4e)",🎯 Atração,⭐⭐ Vale o desvio,🎨,"48.8562, 2.3522",48.8562,2.3522,Subir a rue des Barres devagar e olhar pra trás: o campanário emoldurado pela viela é A foto do tour.
Église Saint-Gervais & Rue des Barres (13 rue des Barres),🎯 Atração,,🎨,"48.8562, 2.3522",48.8562,2.3522,Parada do walking tour: Parte 1 · 🏰 Marais Sul: pedras & arte
"Hôtel de Sens (1 rue du Figuier, 4e)",🎯 Atração,,🎨,"48.8534, 2.3592",48.8534,2.3592,Parada do walking tour: Parte 1 · 🏰 Marais Sul: pedras & arte
"Village Saint-Paul (rue Saint-Paul, 4e)",🎯 Atração,,🎨,"48.8526, 2.3633",48.8526,2.3633,Parada do walking tour: Parte 1 · 🏰 Marais Sul: pedras & arte
Place du Marché Sainte-Catherine (4e),🎯 Atração,,🎨,"48.8552, 2.3636",48.8552,2.3636,Parada do walking tour: Parte 1 · 🏰 Marais Sul: pedras & arte
Maison Européenne de la Photographie (5 rue de Fourcy),🎯 Atração,,🎨,"48.8551, 2.3589",48.8551,2.3589,Parada do walking tour: Parte 1 · 🏰 Marais Sul: pedras & arte
Mariage Frères (30 rue du Bourg-Tibourg),🎯 Atração,,🎨,"48.8573, 2.3551",48.8573,2.3551,Parada do walking tour: Parte 2 · 🛍️ Haut Marais: lojas & hôtels
Free'P'Star · friperies (61 rue de la Verrerie),🎯 Atração,,🎨,"48.8577, 2.354",48.8577,2.354,Parada do walking tour: Parte 2 · 🛍️ Haut Marais: lojas & hôtels
Hôtel de Rohan · Chevaux du Soleil (87 rue Vieille-du-Temple),🎯 Atração,,🎨,"48.8601, 2.3603",48.8601,2.3603,Parada do walking tour: Parte 2 · 🛍️ Haut Marais: lojas & hôtels
Hôtel de Soubise · Archives Nationales (60 rue des Francs-Bourgeois),🎯 Atração,,🎨,"48.8593, 2.3593",48.8593,2.3593,Parada do walking tour: Parte 2 · 🛍️ Haut Marais: lojas & hôtels
Maison de Nicolas Flamel (51 rue de Montmorency),🎯 Atração,,🎨,"48.8636, 2.3532",48.8636,2.3532,Parada do walking tour: Parte 2 · 🛍️ Haut Marais: lojas & hôtels
"Hôtel de Sens · Bibliothèque Forney (1 rue du Figuier, 4e)",🎯 Atração,⭐⭐ Vale o desvio,🎨,"48.8534, 2.3592",48.8534,2.3592,"A fachada e o pátio interno (entrada livre). Procure a bala de canhão cravada na parede, com a data de julho de 1830 (Revolução de Julho)."
"Village Saint-Paul (rue Saint-Paul / rue des Jardins-Saint-Paul, 4e)",🎯 Atração,⭐⭐ Vale o desvio,🎨,"48.8526, 2.3633",48.8526,2.3633,"Atravessar os pátios sem pressa, espiando vitrines de móveis, gravuras e vintage — e tocar a muralha de 800 anos a 50m dali."
