Nome,Categoria,Estrelas,Dia,Endereço,Latitude,Longitude,Notas
Base · Msgr. McGolrick Park (Greenpoint),🌳 Parque,⭐ Se sobrar,Sex 3/Jul,"40.7245, -73.9434",40.7245,-73.9434,"A oeste do pavilhão, a Vitória alada de bronze (Carl Heber, 1923) que honra os moradores de Greenpoint idos à 1ª Guerra — fica de costas para a rua, virada para o gramado."
Frankel's Delicatessen (631 Manhattan Ave),🥐 Padaria/Doceria,⭐⭐⭐ Vale a viagem,Sáb 4/Jul,"40.7238, -73.9511",40.7238,-73.9511,"Deli judaico clássico de Greenpoint (2016): bagels, smoked fish, breakfast sandwiches, pastrami. Colado na base."
Bagel Point (699 Manhattan Ave),🥐 Padaria/Doceria,⭐⭐ Vale o desvio,Sáb 4/Jul,"40.7268, -73.9505",40.7268,-73.9505,Bagels fervidos na água + 20+ cream cheeses caseiros · rainbow bagels pra encantar a pequena. Na Nassau Ave.
Bagelsmith (566 Lorimer St),🥐 Padaria/Doceria,⭐⭐ Vale o desvio,Sáb 4/Jul,"40.7141, -73.9491",40.7141,-73.9491,"Bagel clássico de Williamsburg, barato e abre cedo. Bom no caminho pro Smorgasburg."
Smorgasburg Williamsburg,🛒 Mercado,⭐⭐⭐ Vale a viagem,Sáb 4/Jul,"40.7211, -73.9623",40.7211,-73.9623,Red Hook Lobster Pound — lobster roll de Maine de verdade ao ar livre em Brooklyn
Piquenique pré-fogos · Transmitter Park,🌳 Parque,⭐⭐ Vale o desvio,Sáb 4/Jul,"40.7298, -73.9608",40.7298,-73.9608,Pôr do sol às 20h32 com Manhattan inteira no horizonte — antes mesmo dos fogos
Fogos Macy's · 50ª edição (Transmitter Park),🎯 Atração,⭐⭐⭐ Vale a viagem,Sáb 4/Jul,"40.7298, -73.9608",40.7298,-73.9608,Trecho final 'grand finale' — 30s de mais de 1.000 explosões simultâneas
Peter Pan Donut & Pastry Shop (727 Manhattan Ave),🥐 Padaria/Doceria,⭐⭐⭐ Vale a viagem,Dom 5/Jul,"40.7261, -73.9522",40.7261,-73.9522,"Instituição de Greenpoint desde 1950 — donuts lendários (o blueberry é cult), breakfast sandwiches e milkshakes. Barato, balcão retrô, ímã pra criança. Fila anda rápido."
Selamat Pagi (152 Driggs Ave),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 5/Jul,"40.7227, -73.9527",40.7227,-73.9527,"Brunch balinês colorido e descontraído em Greenpoint · aceita grupo, kid-friendly, espaço amplo."
Milk and Roses (35 Box St),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 5/Jul,"40.7382, -73.9583",40.7382,-73.9583,"Americano com pegada do sul da Itália + jardim secreto nos fundos. Ambiente de livraria-bistrô, kid-ok, ótimo pra grupo demorar."
"Domino Park (15 River St, Williamsburg waterfront)",🌳 Parque,⭐⭐ Vale o desvio,Dom 5/Jul,"40.7148, -73.9679",40.7148,-73.9679,"Os 4 tanques de xarope de 11m de aço enferrujado preservados ao longo da esplanada (relíquias do refino) + o Sweetwater Playground em forma de mini-usina: a criança 'entra como cana e sai como melaço', nas cores turquesa e amarelo originais da Domino"
"Brooklyn Brewery (79 N 11th St, Williamsburg)",🍸 Bar,⭐ Se sobrar,Dom 5/Jul,"40.7217, -73.9576",40.7217,-73.9576,"Tomar a Brooklyn Lager na fonte, no galpão original · os tours saem nos fins de semana (curtos e gratuitos)"
Emmy Squared (364 Grand St),🍽️ Restaurante,⭐⭐⭐ Vale a viagem,Dom 5/Jul,"40.7122, -73.9557",40.7122,-73.9557,"Pizza Detroit (quadrada, borda crocante caramelizada) + a famosa Emmy burger estilo In-N-Out turbinada. Animado, ótimo pra dividir em grupo, criança adora."
Karczma (136 Greenpoint Ave),🍽️ Restaurante,⭐⭐ Vale o desvio,Dom 5/Jul,"40.7301, -73.9551",40.7301,-73.9551,"Polonês autêntico de Greenpoint, garçonetes a caráter, pierogi tido como o melhor do bairro + grelhados pra dividir. Barato, divertido, kid-ok. Reserva no fim de semana."
